,Frame,prox,dist,prox_filtered,dist_filtered
0,0,16,12,12.0,5.0
10,10,19,3,14.0,6.0
20,20,19,0,13.0,8.0
30,30,5,8,12.0,8.0
40,40,15,19,12.0,10.0
50,50,0,11,14.0,9.0
60,60,4,9,11.0,9.0
70,70,0,9,9.0,11.0
80,80,17,16,8.0,11.0
90,90,0,7,12.0,13.0
100,100,15,16,13.0,10.0
110,110,15,6,8.0,12.0
120,120,0,10,7.0,12.0
130,130,12,7,6.0,12.0
140,140,5,4,7.0,9.0
150,150,6,17,7.0,7.0
160,160,12,0,9.0,7.0
170,170,7,0,11.0,10.0
180,180,12,19,10.0,11.0
190,190,12,7,10.0,12.0
200,200,12,9,11.0,10.0
210,210,18,13,14.0,11.0
220,220,10,16,12.0,11.0
230,230,10,6,10.0,9.0
240,240,11,7,10.0,8.0
250,250,0,11,13.0,9.0
260,260,6,10,13.0,9.0
270,270,17,5,15.0,9.0
280,280,17,15,14.0,9.0
290,290,17,10,13.0,10.0
300,300,5,10,10.0,10.0
310,310,18,9,11.0,11.0
320,320,8,16,16.0,10.0
330,330,18,11,17.0,10.0
340,340,17,12,16.0,9.0
350,350,17,10,16.0,9.0
360,360,19,16,17.0,9.0
370,370,18,11,18.0,10.0
380,380,18,14,18.0,11.0
390,390,19,15,18.0,12.0
400,400,19,10,18.0,12.0
410,410,19,6,18.0,10.0
420,420,18,5,17.0,9.0
430,430,17,21,17.0,12.0
440,440,18,3,15.0,14.0
450,450,15,12,15.0,11.0
460,460,17,9,16.0,9.0
470,470,17,13,17.0,9.0
480,480,16,10,16.0,11.0
490,490,10,13,13.0,11.0
500,500,16,12,12.0,12.0
510,510,16,7,15.0,10.0
520,520,16,8,17.0,9.0
530,530,17,3,17.0,10.0
540,540,17,9,16.0,10.0
550,550,9,6,15.0,9.0
560,560,16,9,14.0,8.0
570,570,17,7,15.0,9.0
580,580,14,13,15.0,8.0
590,590,17,9,15.0,7.0
600,600,17,7,14.0,8.0
610,610,14,14,15.0,10.0
620,620,10,13,15.0,12.0
630,630,16,10,14.0,10.0
640,640,17,12,15.0,10.0
650,650,17,10,16.0,10.0
660,660,14,11,17.0,11.0
670,670,16,12,16.0,10.0
680,680,14,8,13.0,11.0
690,690,7,13,12.0,10.0
700,700,14,4,12.0,9.0
710,710,14,7,12.0,8.0
720,720,16,3,13.0,7.0
730,730,15,1,15.0,8.0
740,740,7,14,15.0,9.0
750,750,15,12,15.0,11.0
760,760,17,13,15.0,10.0
770,770,18,6,14.0,10.0
780,780,17,13,14.0,11.0
790,790,17,16,14.0,13.0
800,800,17,12,17.0,13.0
810,810,17,13,17.0,12.0
820,820,15,13,17.0,11.0
830,830,17,13,18.0,11.0
840,840,19,14,17.0,12.0
850,850,10,12,15.0,11.0
860,860,11,7,14.0,10.0
870,870,12,10,13.0,10.0
880,880,11,12,11.0,10.0
890,890,4,14,11.0,9.0
900,900,0,7,11.0,8.0
910,910,7,7,10.0,7.0
920,920,11,1,13.0,8.0
930,930,15,12,12.0,8.0
940,940,10,9,12.0,9.0
950,950,10,10,8.0,12.0
960,960,1,13,11.0,13.0
970,970,17,14,15.0,13.0
980,980,22,11,17.0,13.0
990,990,12,12,16.0,12.0
1000,1000,19,14,17.0,12.0
1010,1010,21,13,18.0,12.0
1020,1020,11,14,16.0,12.0
1030,1030,10,16,13.0,13.0
1040,1040,14,16,13.0,14.0
1050,1050,18,8,14.0,13.0
1060,1060,14,16,16.0,14.0
1070,1070,19,16,12.0,14.0
1080,1080,0,15,10.0,13.0
1090,1090,9,4,11.0,13.0
1100,1100,15,11,13.0,13.0
1110,1110,17,17,16.0,12.0
1120,1120,17,10,15.0,12.0
1130,1130,17,8,14.0,12.0
1140,1140,18,16,15.0,12.0
1150,1150,14,7,15.0,13.0
1160,1160,19,16,14.0,12.0
1170,1170,13,9,15.0,13.0
1180,1180,12,16,16.0,13.0
1190,1190,15,15,17.0,13.0
1200,1200,18,16,18.0,13.0
1210,1210,14,13,17.0,13.0
1220,1220,14,13,17.0,12.0
1230,1230,17,5,18.0,11.0
1240,1240,19,9,18.0,10.0
1250,1250,19,14,17.0,11.0
1260,1260,17,10,17.0,12.0
1270,1270,14,13,17.0,12.0
1280,1280,16,12,17.0,12.0
1290,1290,20,12,17.0,10.0
1300,1300,14,9,16.0,9.0
