,Frame,prox,dist,prox_filtered,dist_filtered
0,0,0,0,11.0,6.0
1,1,12,0,11.0,7.0
2,2,14,11,11.0,7.0
3,3,15,11,12.0,8.0
4,4,11,14,12.0,8.0
5,5,0,9,12.0,8.0
6,6,9,7,12.0,9.0
7,7,16,10,12.0,9.0
8,8,17,11,13.0,10.0
9,9,17,6,13.0,10.0
10,10,15,9,13.0,11.0
11,11,17,1,13.0,11.0
12,12,18,16,13.0,11.0
13,13,19,17,14.0,12.0
14,14,18,13,14.0,12.0
15,15,20,15,14.0,12.0
16,16,12,17,14.0,12.0
17,17,15,17,13.0,12.0
18,18,8,17,14.0,12.0
19,19,17,18,14.0,11.0
20,20,15,16,14.0,11.0
21,21,10,17,13.0,11.0
22,22,18,17,13.0,11.0
23,23,9,5,13.0,10.0
24,24,14,9,13.0,11.0
25,25,15,9,13.0,11.0
26,26,13,16,13.0,11.0
27,27,10,11,13.0,11.0
28,28,6,9,13.0,11.0
29,29,9,7,13.0,11.0
30,30,17,1,13.0,11.0
31,31,9,0,13.0,10.0
32,32,11,4,13.0,10.0
33,33,0,0,13.0,10.0
34,34,17,5,14.0,10.0
35,35,18,1,14.0,10.0
36,36,17,15,14.0,10.0
37,37,14,16,14.0,10.0
38,38,15,14,14.0,11.0
39,39,16,14,14.0,11.0
40,40,16,11,15.0,10.0
41,41,16,16,15.0,11.0
42,42,15,17,16.0,11.0
43,43,17,5,16.0,11.0
44,44,14,14,16.0,12.0
45,45,18,17,16.0,12.0
46,46,19,17,17.0,12.0
47,47,17,13,17.0,12.0
48,48,18,14,17.0,12.0
49,49,18,15,17.0,11.0
50,50,17,17,17.0,11.0
51,51,17,14,17.0,11.0
52,52,17,0,17.0,10.0
53,53,18,17,17.0,10.0
54,54,17,15,17.0,10.0
55,55,22,3,17.0,10.0
56,56,18,17,17.0,10.0
57,57,18,3,17.0,10.0
58,58,19,5,16.0,9.0
59,59,15,7,16.0,9.0
60,60,17,0,16.0,9.0
61,61,18,1,15.0,9.0
62,62,16,8,15.0,9.0
63,63,17,9,15.0,9.0
64,64,17,5,15.0,8.0
65,65,11,9,15.0,8.0
66,66,14,8,14.0,8.0
67,67,17,5,14.0,8.0
68,68,17,8,13.0,8.0
69,69,14,13,13.0,7.0
70,70,3,11,12.0,7.0
71,71,9,13,12.0,7.0
72,72,12,11,12.0,7.0
73,73,5,16,12.0,8.0
74,74,18,1,11.0,8.0
75,75,18,18,11.0,8.0
76,76,0,0,10.0,9.0
77,77,19,2,9.0,9.0
78,78,0,5,9.0,9.0
79,79,17,15,9.0,9.0
80,80,6,7,9.0,10.0
81,81,5,3,9.0,10.0
82,82,8,5,9.0,10.0
83,83,0,0,9.0,10.0
84,84,16,12,9.0,10.0
85,85,14,18,9.0,10.0
86,86,3,9,10.0,10.0
87,87,5,6,10.0,10.0
88,88,0,13,10.0,10.0
89,89,4,12,11.0,10.0
90,90,10,15,11.0,10.0
91,91,14,14,11.0,10.0
92,92,0,13,11.0,10.0
93,93,18,17,12.0,10.0
94,94,17,10,12.0,9.0
95,95,17,15,13.0,9.0
96,96,11,16,13.0,10.0
97,97,7,16,13.0,9.0
98,98,19,11,13.0,9.0
99,99,18,4,14.0,9.0
100,100,18,6,14.0,9.0
101,101,18,8,15.0,8.0
102,102,18,1,15.0,9.0
103,103,18,0,15.0,8.0
104,104,18,8,15.0,8.0
105,105,17,7,15.0,8.0
106,106,18,0,15.0,7.0
107,107,16,0,15.0,7.0
108,108,14,9,15.0,7.0
109,109,14,5,15.0,7.0
110,110,15,0,16.0,6.0
111,111,18,15,16.0,6.0
112,112,15,7,15.0,6.0
113,113,14,1,15.0,6.0
114,114,10,15,15.0,6.0
115,115,14,14,15.0,6.0
116,116,13,7,15.0,6.0
117,117,10,3,15.0,6.0
118,118,14,2,15.0,6.0
119,119,18,6,15.0,6.0
120,120,10,6,15.0,7.0
121,121,20,16,15.0,6.0
122,122,15,5,16.0,6.0
123,123,17,5,16.0,6.0
124,124,12,5,16.0,6.0
125,125,17,5,16.0,6.0
126,126,14,3,16.0,6.0
127,127,15,9,16.0,5.0
128,128,17,0,16.0,5.0
129,129,17,7,17.0,5.0
130,130,18,0,17.0,5.0
131,131,20,6,17.0,6.0
132,132,19,13,17.0,6.0
133,133,20,3,17.0,7.0
134,134,18,5,17.0,7.0
135,135,19,2,18.0,7.0
136,136,18,0,18.0,7.0
137,137,12,0,18.0,8.0
138,138,19,6,18.0,8.0
139,139,19,1,18.0,8.0
140,140,19,7,18.0,8.0
141,141,19,13,18.0,9.0
142,142,18,11,18.0,9.0
143,143,19,15,18.0,9.0
144,144,18,13,18.0,10.0
145,145,18,13,18.0,10.0
146,146,20,17,17.0,10.0
147,147,19,15,17.0,10.0
148,148,18,15,16.0,11.0
149,149,19,10,16.0,11.0
150,150,19,10,16.0,11.0
151,151,20,11,15.0,11.0
152,152,12,11,15.0,11.0
153,153,19,12,15.0,11.0
154,154,21,11,15.0,11.0
155,155,20,16,15.0,11.0
156,156,18,12,15.0,10.0
157,157,0,11,15.0,11.0
158,158,0,14,15.0,11.0
159,159,10,15,15.0,10.0
160,160,10,12,15.0,10.0
161,161,2,9,15.0,9.0
162,162,19,0,15.0,10.0
163,163,9,7,14.0,10.0
164,164,20,0,14.0,10.0
165,165,19,3,14.0,10.0
166,166,19,9,14.0,10.0
167,167,14,8,14.0,9.0
168,168,18,8,14.0,9.0
169,169,17,14,14.0,9.0
170,170,15,18,15.0,9.0
171,171,19,6,16.0,9.0
172,172,18,4,16.0,9.0
173,173,10,4,16.0,8.0
174,174,19,13,17.0,8.0
175,175,10,11,17.0,8.0
176,176,17,18,17.0,8.0
177,177,19,10,17.0,8.0
178,178,17,6,17.0,8.0
179,179,17,9,17.0,9.0
180,180,18,12,17.0,9.0
181,181,20,16,17.0,9.0
182,182,20,6,17.0,8.0
183,183,18,8,17.0,8.0
184,184,11,5,17.0,8.0
185,185,19,6,17.0,8.0
186,186,15,3,17.0,9.0
187,187,18,8,17.0,9.0
188,188,19,0,18.0,9.0
189,189,17,1,18.0,9.0
190,190,17,8,18.0,9.0
191,191,17,11,18.0,9.0
192,192,18,9,18.0,9.0
193,193,18,8,18.0,10.0
194,194,19,8,17.0,9.0
195,195,19,11,17.0,10.0
196,196,17,10,17.0,10.0
197,197,18,11,18.0,10.0
198,198,16,15,18.0,10.0
199,199,17,13,18.0,11.0
200,200,18,13,18.0,11.0
201,201,17,15,18.0,11.0
202,202,18,13,18.0,11.0
203,203,18,14,18.0,12.0
204,204,17,13,18.0,11.0
205,205,18,13,18.0,12.0
