,Frame,prox,dist,prox_filtered,dist_filtered
0,0,9,25,15.0,24.0
10,10,20,21,17.0,22.0
20,20,18,23,16.0,21.0
30,30,9,24,13.0,21.0
40,40,0,17,11.0,19.0
50,50,18,21,13.0,15.0
60,60,17,19,15.0,14.0
70,70,17,17,17.0,15.0
80,80,19,19,16.0,17.0
90,90,17,13,15.0,15.0
100,100,13,17,14.0,15.0
110,110,20,15,14.0,16.0
120,120,19,26,17.0,18.0
130,130,5,19,18.0,20.0
140,140,17,17,17.0,18.0
150,150,15,17,18.0,16.0
160,160,12,13,17.0,15.0
170,170,20,13,16.0,14.0
180,180,17,17,15.0,12.0
190,190,15,13,16.0,13.0
200,200,20,13,17.0,15.0
210,210,20,17,18.0,17.0
220,220,20,19,17.0,19.0
230,230,20,20,14.0,19.0
240,240,0,17,14.0,21.0
250,250,18,19,14.0,20.0
260,260,0,0,18.0,19.0
270,270,20,13,18.0,17.0
280,280,20,24,16.0,19.0
290,290,19,17,12.0,19.0
300,300,0,19,14.0,18.0
310,310,20,16,16.0,18.0
320,320,5,17,18.0,17.0
330,330,20,10,16.0,17.0
340,340,0,17,17.0,17.0
350,350,18,24,16.0,20.0
360,360,0,17,17.0,19.0
370,370,20,19,17.0,18.0
380,380,18,17,18.0,19.0
390,390,20,19,18.0,17.0
400,400,20,17,20.0,15.0
410,410,20,17,20.0,13.0
420,420,20,14,20.0,14.0
430,430,19,21,19.0,16.0
440,440,19,23,19.0,18.0
450,450,20,17,18.0,15.0
460,460,19,7,19.0,15.0
470,470,19,18,19.0,14.0
480,480,20,12,19.0,13.0
490,490,20,3,20.0,11.0
500,500,20,0,20.0,14.0
510,510,19,16,19.0,16.0
520,520,20,5,19.0,16.0
530,530,18,17,19.0,15.0
540,540,19,17,19.0,16.0
550,550,20,22,18.0,16.0
560,560,4,16,17.0,17.0
570,570,20,19,17.0,15.0
580,580,20,15,19.0,13.0
590,590,19,2,19.0,14.0
600,600,20,16,19.0,15.0
610,610,20,17,18.0,16.0
620,620,20,15,18.0,16.0
630,630,19,13,18.0,17.0
640,640,18,20,18.0,19.0
650,650,0,17,17.0,20.0
660,660,20,15,17.0,20.0
670,670,19,21,19.0,18.0
680,680,19,14,18.0,17.0
690,690,17,17,17.0,17.0
700,700,18,19,18.0,16.0
710,710,20,14,19.0,17.0
720,720,20,14,16.0,18.0
730,730,3,17,11.0,17.0
740,740,12,13,8.0,17.0
750,750,16,18,12.0,17.0
760,760,12,9,15.0,18.0
770,770,18,19,17.0,19.0
780,780,18,20,17.0,19.0
790,790,19,14,16.0,19.0
800,800,19,20,14.0,18.0
810,810,0,17,13.0,17.0
820,820,0,9,14.0,18.0
830,830,20,19,17.0,17.0
840,840,19,10,18.0,18.0
850,850,20,25,18.0,19.0
860,860,18,16,18.0,18.0
870,870,20,17,17.0,16.0
880,880,17,15,18.0,16.0
890,890,20,14,19.0,17.0
900,900,17,17,19.0,19.0
910,910,20,24,19.0,20.0
920,920,18,18,18.0,20.0
930,930,19,19,17.0,19.0
940,940,20,17,18.0,20.0
950,950,20,23,19.0,20.0
960,960,14,26,18.0,21.0
970,970,19,24,17.0,22.0
980,980,20,24,18.0,21.0
990,990,18,19,16.0,17.0
1000,1000,18,12,16.0,17.0
1010,1010,14,29,16.0,17.0
1020,1020,18,5,16.0,17.0
1030,1030,15,7,16.0,12.0
1040,1040,10,14,15.0,11.0
1050,1050,14,11,13.0,13.0
1060,1060,11,17,12.0,18.0
1070,1070,6,8,14.0,22.0
1080,1080,18,24,12.0,22.0
1090,1090,0,21,13.0,23.0
1100,1100,20,24,14.0,23.0
1110,1110,19,19,17.0,21.0
1120,1120,18,18,18.0,20.0
1130,1130,18,18,18.0,20.0
1140,1140,18,19,17.0,20.0
1150,1150,18,19,17.0,20.0
1160,1160,19,23,17.0,21.0
1170,1170,20,18,17.0,21.0
1180,1180,20,18,18.0,21.0
1190,1190,20,19,19.0,20.0
1200,1200,18,18,19.0,19.0
1210,1210,17,18,18.0,19.0
1220,1220,20,20,18.0,19.0
1230,1230,19,17,19.0,19.0
1240,1240,20,18,18.0,18.0
1250,1250,19,0,17.0,20.0
1260,1260,20,19,18.0,20.0
1270,1270,16,19,18.0,21.0
1280,1280,20,22,18.0,21.0
1290,1290,19,19,19.0,20.0
1300,1300,18,21,19.0,19.0
