,Frame,prox,dist,prox_filtered,dist_filtered
0,0,19,12,21.0,10.0
10,10,12,3,15.0,8.0
20,20,7,16,10.0,8.0
30,30,8,17,9.0,10.0
40,40,8,15,10.0,12.0
50,50,15,16,12.0,13.0
60,60,6,16,11.0,13.0
70,70,0,15,12.0,12.0
80,80,12,12,12.0,12.0
90,90,0,18,12.0,13.0
100,100,9,16,10.0,14.0
110,110,12,13,12.0,13.0
120,120,14,8,14.0,13.0
130,130,14,12,14.0,11.0
140,140,11,13,14.0,12.0
150,150,17,12,14.0,12.0
160,160,14,14,15.0,12.0
170,170,14,14,15.0,11.0
180,180,14,14,15.0,10.0
190,190,15,0,14.0,9.0
200,200,12,14,14.0,8.0
210,210,12,10,15.0,10.0
220,220,15,10,15.0,8.0
230,230,12,7,15.0,8.0
240,240,14,10,14.0,9.0
250,250,12,15,13.0,9.0
260,260,10,1,14.0,6.0
270,270,15,2,13.0,6.0
280,280,14,3,13.0,9.0
290,290,13,14,14.0,12.0
300,300,16,13,15.0,13.0
310,310,17,19,16.0,14.0
320,320,14,13,16.0,15.0
330,330,15,14,16.0,12.0
340,340,12,9,15.0,13.0
350,350,12,10,14.0,13.0
360,360,11,13,13.0,15.0
370,370,14,12,11.0,14.0
380,380,10,15,12.0,13.0
390,390,17,14,13.0,14.0
400,400,15,8,14.0,12.0
410,410,18,6,15.0,10.0
420,420,14,14,16.0,11.0
430,430,12,17,15.0,10.0
440,440,14,1,16.0,8.0
450,450,20,0,14.0,7.0
460,460,11,10,12.0,8.0
470,470,12,16,11.0,8.0
480,480,15,5,15.0,8.0
490,490,18,10,17.0,6.0
500,500,15,18,15.0,6.0
510,510,13,7,14.0,9.0
520,520,15,3,15.0,11.0
530,530,15,17,16.0,11.0
540,540,10,15,15.0,11.0
550,550,17,17,15.0,9.0
560,560,16,1,17.0,10.0
570,570,17,12,17.0,8.0
580,580,18,3,18.0,9.0
590,590,18,8,18.0,9.0
600,600,19,10,18.0,8.0
610,610,18,0,18.0,5.0
620,620,18,4,18.0,5.0
630,630,17,3,18.0,7.0
640,640,18,17,17.0,9.0
650,650,17,7,17.0,10.0
660,660,17,3,16.0,8.0
670,670,16,2,16.0,8.0
680,680,18,13,14.0,7.0
690,690,15,0,15.0,11.0
700,700,19,15,18.0,10.0
710,710,13,10,19.0,10.0
720,720,19,17,18.0,8.0
730,730,13,3,17.0,6.0
740,740,16,0,17.0,7.0
750,750,17,11,16.0,8.0
760,760,11,7,14.0,9.0
770,770,11,15,12.0,9.0
780,780,12,3,12.0,9.0
790,790,12,1,10.0,8.0
800,800,11,8,10.0,8.0
810,810,8,14,13.0,8.0
820,820,21,14,14.0,9.0
830,830,17,11,13.0,12.0
840,840,11,17,12.0,14.0
850,850,13,19,13.0,15.0
860,860,15,19,12.0,17.0
870,870,11,21,12.0,18.0
880,880,17,21,11.0,21.0
890,890,12,21,13.0,20.0
900,900,15,21,14.0,14.0
910,910,12,8,13.0,12.0
920,920,13,13,13.0,13.0
930,930,16,19,14.0,15.0
940,940,14,12,13.0,16.0
950,950,14,20,13.0,15.0
960,960,12,17,13.0,15.0
970,970,13,12,14.0,13.0
980,980,15,16,15.0,12.0
990,990,17,9,15.0,12.0
1000,1000,17,14,17.0,10.0
