,Frame,prox,dist,prox_filtered,dist_filtered
0,0,17,12,17.0,16.0
10,10,15,12,17.0,12.0
20,20,18,12,17.0,9.0
30,30,19,14,18.0,9.0
40,40,19,10,18.0,9.0
50,50,15,2,17.0,9.0
60,60,15,11,17.0,10.0
70,70,20,15,17.0,12.0
80,80,15,14,18.0,12.0
90,90,15,18,18.0,12.0
100,100,17,4,18.0,11.0
110,110,19,3,18.0,9.0
120,120,19,7,17.0,7.0
130,130,15,6,17.0,7.0
140,140,19,7,18.0,10.0
150,150,20,11,19.0,10.0
160,160,18,9,19.0,10.0
170,170,19,15,18.0,11.0
180,180,18,21,18.0,13.0
190,190,19,13,18.0,15.0
200,200,18,19,17.0,16.0
210,210,18,20,17.0,16.0
220,220,19,16,17.0,13.0
230,230,18,14,18.0,11.0
240,240,19,0,18.0,13.0
250,250,18,17,18.0,15.0
260,260,17,17,18.0,17.0
270,270,18,17,18.0,13.0
280,280,14,3,18.0,10.0
290,290,17,11,17.0,11.0
300,300,19,15,18.0,11.0
310,310,20,3,19.0,12.0
320,320,19,19,19.0,11.0
330,330,19,11,19.0,11.0
340,340,20,6,18.0,10.0
350,350,17,10,19.0,10.0
360,360,20,17,19.0,12.0
370,370,20,11,19.0,12.0
380,380,20,4,19.0,15.0
390,390,15,27,19.0,20.0
400,400,15,28,18.0,23.0
410,410,18,25,17.0,21.0
420,420,19,22,17.0,22.0
430,430,17,26,17.0,19.0
440,440,15,2,17.0,20.0
450,450,19,22,17.0,16.0
460,460,15,12,18.0,13.0
470,470,18,1,18.0,11.0
480,480,18,16,18.0,8.0
490,490,20,17,18.0,11.0
500,500,18,21,18.0,13.0
510,510,18,24,19.0,15.0
520,520,20,18,19.0,21.0
530,530,20,28,20.0,24.0
540,540,20,28,20.0,23.0
550,550,19,5,19.0,19.0
560,560,18,14,18.0,13.0
570,570,19,18,18.0,12.0
580,580,15,5,19.0,12.0
590,590,20,9,19.0,11.0
600,600,20,16,19.0,11.0
610,610,19,16,19.0,10.0
620,620,15,12,18.0,12.0
630,630,17,11,17.0,17.0
640,640,15,20,16.0,15.0
650,650,19,9,17.0,14.0
660,660,17,18,16.0,13.0
670,670,19,12,16.0,14.0
680,680,19,16,18.0,9.0
690,690,20,1,19.0,9.0
700,700,19,3,19.0,9.0
710,710,20,15,19.0,10.0
720,720,19,17,19.0,9.0
730,730,19,3,18.0,8.0
740,740,18,17,17.0,10.0
750,750,19,17,17.0,11.0
760,760,18,10,18.0,11.0
770,770,19,13,18.0,9.0
780,780,14,13,18.0,10.0
790,790,19,0,18.0,10.0
800,800,19,9,17.0,12.0
810,810,19,16,17.0,10.0
820,820,18,0,16.0,10.0
830,830,15,8,15.0,11.0
840,840,19,17,15.0,12.0
850,850,19,18,16.0,11.0
860,860,14,12,17.0,12.0
870,870,19,12,16.0,12.0
880,880,17,13,15.0,12.0
890,890,18,0,15.0,11.0
900,900,15,19,16.0,13.0
910,910,18,18,16.0,15.0
920,920,19,7,17.0,13.0
930,930,18,13,18.0,10.0
940,940,19,18,18.0,11.0
950,950,18,19,18.0,13.0
960,960,15,18,17.0,18.0
970,970,19,22,17.0,19.0
980,980,17,13,16.0,18.0
990,990,15,17,16.0,15.0
1000,1000,15,15,17.0,14.0
1010,1010,18,13,17.0,13.0
1020,1020,15,12,17.0,13.0
1030,1030,17,17,17.0,12.0
1040,1040,18,2,16.0,12.0
1050,1050,19,10,16.0,10.0
1060,1060,15,14,17.0,9.0
1070,1070,18,21,16.0,13.0
1080,1080,12,20,17.0,17.0
1090,1090,19,18,17.0,16.0
1100,1100,15,9,18.0,13.0
1110,1110,18,20,17.0,12.0
1120,1120,17,15,16.0,12.0
1130,1130,17,17,16.0,9.0
1140,1140,17,6,16.0,9.0
1150,1150,17,10,15.0,10.0
1160,1160,15,21,16.0,10.0
1170,1170,17,1,17.0,11.0
1180,1180,17,16,17.0,17.0
1190,1190,17,18,18.0,15.0
1200,1200,17,13,18.0,13.0
1210,1210,15,15,17.0,13.0
1220,1220,19,12,17.0,14.0
1230,1230,19,10,18.0,13.0
1240,1240,18,19,16.0,14.0
1250,1250,15,10,16.0,16.0
1260,1260,17,8,16.0,15.0
1270,1270,15,12,17.0,14.0
1280,1280,18,20,17.0,16.0
1290,1290,18,17,17.0,15.0
1300,1300,18,18,18.0,16.0
