,Frame,prox,dist,prox_filtered,dist_filtered
0,0,19,15,16.0,13.0
10,10,9,11,16.0,12.0
20,20,18,17,17.0,11.0
30,30,20,1,18.0,11.0
40,40,20,22,17.0,10.0
50,50,17,10,16.0,10.0
60,60,5,13,15.0,11.0
70,70,15,14,14.0,12.0
80,80,14,13,14.0,10.0
90,90,13,8,11.0,9.0
100,100,13,11,11.0,9.0
110,110,22,5,14.0,11.0
120,120,11,11,13.0,9.0
130,130,11,8,8.0,11.0
140,140,9,11,7.0,11.0
150,150,5,2,7.0,11.0
160,160,0,4,11.0,8.0
170,170,19,12,14.0,8.0
180,180,18,10,15.0,12.0
190,190,17,16,14.0,11.0
200,200,12,9,14.0,11.0
210,210,18,10,13.0,8.0
220,220,14,2,13.0,6.0
230,230,18,11,11.0,5.0
240,240,6,12,10.0,8.0
250,250,17,12,11.0,9.0
260,260,19,7,10.0,10.0
270,270,0,14,12.0,11.0
280,280,15,9,13.0,13.0
290,290,17,13,15.0,12.0
300,300,10,10,14.0,11.0
310,310,15,10,14.0,10.0
320,320,12,8,14.0,11.0
330,330,17,6,13.0,11.0
340,340,15,11,15.0,12.0
350,350,19,16,17.0,12.0
360,360,19,11,18.0,12.0
370,370,19,13,18.0,12.0
380,380,18,10,16.0,13.0
390,390,18,12,16.0,12.0
400,400,16,3,15.0,9.0
410,410,15,0,13.0,7.0
420,420,7,8,9.0,4.0
430,430,10,0,10.0,6.0
440,440,17,9,11.0,10.0
450,450,17,17,14.0,10.0
460,460,10,13,15.0,12.0
470,470,19,11,14.0,11.0
480,480,12,10,13.0,9.0
490,490,10,6,13.0,8.0
500,500,12,10,12.0,6.0
510,510,10,14,13.0,6.0
520,520,2,3,14.0,6.0
530,530,8,7,10.0,9.0
540,540,7,16,7.0,10.0
550,550,7,9,11.0,11.0
560,560,14,14,13.0,12.0
570,570,0,15,11.0,11.0
580,580,17,0,13.0,9.0
590,590,19,7,18.0,10.0
600,600,19,16,18.0,12.0
610,610,19,13,18.0,12.0
620,620,0,12,16.0,9.0
630,630,5,8,16.0,7.0
640,640,20,0,17.0,8.0
650,650,17,12,17.0,10.0
660,660,18,11,17.0,10.0
670,670,17,9,15.0,10.0
680,680,0,12,12.0,9.0
690,690,16,9,13.0,10.0
700,700,12,11,17.0,10.0
710,710,20,12,18.0,12.0
720,720,19,13,17.0,13.0
730,730,14,10,15.0,12.0
740,740,17,12,13.0,10.0
750,750,15,16,13.0,9.0
760,760,17,11,13.0,10.0
770,770,14,10,12.0,9.0
780,780,16,8,13.0,7.0
790,790,18,3,14.0,7.0
800,800,15,16,13.0,6.0
810,810,17,3,14.0,7.0
820,820,17,6,15.0,6.0
830,830,18,9,14.0,7.0
840,840,4,10,13.0,7.0
850,850,1,0,11.0,8.0
860,860,6,16,13.0,7.0
870,870,17,4,15.0,8.0
880,880,1,2,17.0,7.0
890,890,19,8,17.0,9.0
900,900,20,6,17.0,7.0
910,910,17,8,17.0,6.0
920,920,18,11,18.0,7.0
930,930,19,9,17.0,10.0
940,940,17,17,17.0,13.0
950,950,11,11,18.0,12.0
960,960,18,17,14.0,11.0
970,970,13,5,12.0,13.0
980,980,19,9,14.0,11.0
990,990,14,17,15.0,10.0
1000,1000,4,0,14.0,8.0
